wp_post_id,title,current_url,target_collection,subhub,featured,confidence,word_count,post_date,post_modified,comment_count,notes
6919,What single parent benefits am I entitled to in the UK?,https://thebreakingdad.co.uk/separated-parents/single-parent-benefits-uk/,posts,money-and-benefits,false,high,946,2025-02-01,2025-03-25,0,title keyword → posts/money-and-benefits
6924,Grants for Single Parents in the UK: Financial Support &amp; How to Apply,https://thebreakingdad.co.uk/separated-parents/grants-for-single-parents-uk/,posts,money-and-benefits,false,high,772,2025-02-06,2025-02-06,2,title keyword → posts/money-and-benefits
6927,26 things to do with kids in Hampshire,https://thebreakingdad.co.uk/things-to-do/things-to-do-with-kids-hampshire/,diary,,false,high,2297,2025-02-10,2025-05-12,0,diary-style title: 'hampshire'
6938,Tonies | Toniebox Review: A Parent’s Honest Take on This Screen-Free Audio Player,https://thebreakingdad.co.uk/parenthood/toniebox-review-a-parents-honest-take-on-this-screen-free-audio-player/,reviews,,false,high,1710,2025-01-07,2025-04-10,0,WP category 'reviews'
7014,Dating for Single Parents: A Practical Guide to Love and Connection,https://thebreakingdad.co.uk/separated-parents/dating-for-single-parents-uk/,posts,starting-over,false,medium,2276,2025-01-02,2025-03-30,0,title keyword → posts/starting-over
7017,Gentle Parenting: A Balanced Guide for UK Parents,https://thebreakingdad.co.uk/parenthood/gentle-parenting-a-balanced-guide-for-uk-parents/,cull,,false,low,1000,2025-02-11,2025-02-11,0,"CULL — 1000 words, modified 14mo ago"
7033,Universal Credit for Single Parents: A Complete UK Guide (2025),https://thebreakingdad.co.uk/separated-parents/universal-credit-for-single-parents-a-complete-uk-guide-2025/,posts,money-and-benefits,false,high,2335,2025-01-30,2025-05-01,0,title keyword → posts/money-and-benefits
7101,How to Talk to Kids About Divorce: A Parent's Guide to a Healthier Transition,https://thebreakingdad.co.uk/separated-parents/how-to-talk-to-kids-about-divorce-a-parents-guide-to-a-healthier-transition/,posts,rights-and-law,false,medium,928,2025-02-17,2025-05-12,0,WP category 'divorce' → rights-and-law (or starting-over?)
7107,The Best Travel-Friendly Toys for Toddlers: Ultimate Guide 2025,https://thebreakingdad.co.uk/parenthood/the-best-travel-friendly-toys-for-toddlers-ultimate-guide-2025/,diary,,true,low,3265,2025-03-03,2025-06-25,0,KEEP — featured (user signal)
7164,What is Co-Parenting? The Ultimate Guide to Raising Happy Kids After Separation,https://thebreakingdad.co.uk/separated-parents/what-is-co-parenting-the-ultimate-guide-to-raising-happy-kids-after-separation/,posts,co-parenting,false,high,5835,2025-03-16,2025-05-12,0,WP category 'co-parenting'
7196,Pact Coffee Review: A Busy Parent’s Guide to Better Coffee at Home,https://thebreakingdad.co.uk/parenthood/pact-coffee-review/,reviews,,false,high,1935,2025-03-16,2025-04-25,0,WP category 'reviews'
7381,Understanding Tax Free Childcare: A Guide to Saving on Childcare Costs,https://thebreakingdad.co.uk/parenthood/understanding-tax-free-childcare-a-guide-to-saving-on-childcare-costs/,posts,money-and-benefits,false,high,1263,2025-03-18,2025-05-12,0,title keyword → posts/money-and-benefits
7844,Simply Piano Review: Is This Piano App Worth It for Beginners (and your kids)?,https://thebreakingdad.co.uk/reviews/simply-piano-review/,reviews,,false,high,2077,2025-06-20,2025-06-24,0,WP category 'reviews'
7908,The Best Co-Parenting Schedule for Young Children: A Guide for Parents,https://thebreakingdad.co.uk/separated-parents/best-co-parenting-schedule-young-children/,posts,co-parenting,true,high,2079,2025-03-24,2025-06-10,0,WP category 'co-parenting'
7958,Why Two Weeks of Paternity Leave Isn’t Enough: One Dad’s Story and the Case for Change,https://thebreakingdad.co.uk/parenthood/uk-paternity-leave-not-enough/,cull,,false,low,1333,2025-03-26,2025-03-27,0,"CULL — 1333 words, modified 13mo ago"
7991,Navigating Blended Family Challenges: Real Tips from a UK Dad,https://thebreakingdad.co.uk/separated-parents/blended-family-challenge/,posts,blended-family,false,high,2106,2025-03-30,2025-03-30,0,title keyword → posts/blended-family
8037,Single Parent Benefits: A Complete Guide,https://thebreakingdad.co.uk/separated-parents/single-parent-benefits-guide/,posts,money-and-benefits,true,high,2896,2025-04-03,2025-06-10,2,title keyword → posts/money-and-benefits
8046,Essential Guide to Financial Planning Divorce: Strategies for Success,https://thebreakingdad.co.uk/separated-parents/financial-planning-for-separated-parents/,posts,,false,low,1279,2025-04-04,2025-04-04,0,WP category 'separated-parents' but no subhub signal — NEEDS MANUAL SUBHUB
8098,Navigating Life as Single Fathers in the UK,https://thebreakingdad.co.uk/separated-parents/single-fathers-uk/,posts,starting-over,false,medium,1174,2025-04-10,2025-04-10,0,title keyword → posts/starting-over
8116,Best Co-Parenting Apps for 2025: Ultimate Guide for Separated Parents,https://thebreakingdad.co.uk/reviews/best-coparenting-apps/,reviews,,false,high,2169,2025-04-16,2025-04-15,0,WP category 'reviews'
8146,Vivobarefoot Review: Are These Minimalist Shoes Worth Your Investment?,https://thebreakingdad.co.uk/reviews/vivobarefoot-review/,reviews,,true,high,1518,2025-04-21,2025-06-26,0,WP category 'reviews'
8176,Travelling Abroad with Children After Separation: The Complete Guide for UK Parents,https://thebreakingdad.co.uk/separated-parents/travelling-abroad-with-children-after-separation-the-complete-guide-for-uk-parents/,posts,rights-and-law,true,high,1892,2025-04-23,2025-06-10,0,title keyword → posts/rights-and-law
8181,Parallel Parenting: The Essential Guide When Co-Parenting Isn't Working,https://thebreakingdad.co.uk/separated-parents/parallel-parenting-the-essential-guide-when-co-parenting-isnt-working/,posts,co-parenting,false,high,1180,2025-04-23,2025-05-12,0,title keyword → posts/co-parenting
8204,Introducing a New Partner to Your Child: A Separated Parent's Guide,https://thebreakingdad.co.uk/separated-parents/introducing-a-new-partner-to-your-child-a-separated-parents-guide/,posts,blended-family,false,high,1305,2025-04-24,2025-04-24,0,title keyword → posts/blended-family
8218,Essential Budgeting Tips for Single Parents UK: Thriving Financially in 2025,https://thebreakingdad.co.uk/separated-parents/budgeting-tips-single-parents-uk/,posts,money-and-benefits,false,high,1998,2025-04-27,2025-04-28,0,title keyword → posts/money-and-benefits
8221,Steam Deck Review: The Ultimate Portable Gaming Solution for Busy Families,https://thebreakingdad.co.uk/reviews/steam-deck-review-families/,reviews,,false,high,1680,2025-04-27,2025-04-29,0,WP category 'reviews'
8229,Understanding Child Maintenance: Your Complete Guide,https://thebreakingdad.co.uk/separated-parents/child-maintenance/,posts,money-and-benefits,false,high,782,2025-04-30,2025-04-30,2,title keyword → posts/money-and-benefits
8235,What Is a Blended Family? A Complete Guide for Separated Parents,https://thebreakingdad.co.uk/separated-parents/what-is-a-blended-family/,posts,blended-family,true,high,1298,2025-05-07,2025-06-10,0,tag match → blended-family
8241,5 Micro-Mindfulness Moments: Sprinkling Serenity into Busy Parent Life,https://thebreakingdad.co.uk/parenthood/5-micro-mindfulness-practices-for-busy-parents/,posts,starting-over,false,medium,722,2025-05-08,2025-05-08,0,title keyword → posts/starting-over
8263,The 12 Best Parenting Books Every UK Parent Should Read in 2025,https://thebreakingdad.co.uk/parenthood/best-parenting-books-uk/,diary,,false,low,1611,2025-05-08,2025-06-25,0,KEEP — substantial (1611w) & recent (modified 10mo ago)
8291,AI for Parents: Practical Tips and Gen AI Tools for Modern Parenting,https://thebreakingdad.co.uk/parenthood/ai-for-parents/,diary,,true,low,987,2025-05-09,2025-06-10,0,KEEP — featured (user signal)
8329,Exploring the Beauty of West Green House Gardens in Hampshire,https://thebreakingdad.co.uk/things-to-do/west-green-house-gardens-hampshire/,diary,,false,high,935,2025-05-11,2025-05-12,0,diary-style title: 'hampshire'
8351,MiniMeis G5 Review: Is This the Best Shoulder Carrier for Your Child?,https://thebreakingdad.co.uk/reviews/minimeis-g5-review/,reviews,,false,high,1524,2025-05-14,2025-05-15,0,WP category 'reviews'
8409,10 Genius Toddler Travel Accessories That Make Family Trips Easier (2025 Edition),https://thebreakingdad.co.uk/parenthood/best-toddler-travel-accessories/,diary,,true,low,1486,2025-05-21,2025-06-10,0,KEEP — featured (user signal)
8471,Dealing with High Conflict Co-Parenting: Strategies for Peaceful Communication,https://thebreakingdad.co.uk/separated-parents/high-conflict-co-parenting-uk/,posts,co-parenting,false,high,2810,2025-05-23,2025-05-29,0,tag match → co-parenting
8476,Primary Carer Rights UK: A Guide for Separated Parents,https://thebreakingdad.co.uk/separated-parents/primary-carer-rights-uk-family-law/,posts,rights-and-law,false,high,1681,2025-05-25,2025-05-29,0,title keyword → posts/rights-and-law
8529,Universal Credit Budget Changes: Essential Updates for Low-Income Households in 2025,https://thebreakingdad.co.uk/parenthood/universal-credit-budget-changes/,posts,money-and-benefits,false,high,1459,2025-05-29,2025-05-29,0,tag match → money-and-benefits
8547,The Ultimate Guide to the Best Coffee Subscription Services (UK Edition),https://thebreakingdad.co.uk/parenthood/best-uk-coffee-subscriptions/,diary,,true,low,3887,2025-06-03,2025-06-10,0,KEEP — featured (user signal)
8552,Top Toys for 10-Year-Olds: Fun and Engaging Picks for Every Interest,https://thebreakingdad.co.uk/parenthood/best-toys-for-10-year-olds-2025-guide/,diary,,false,low,2005,2025-06-04,2025-06-05,0,KEEP — substantial (2005w) & recent (modified 11mo ago)
8675,Hoppstar Artist Digital Camera Review: The Perfect Creative Tool for Young Photographers,https://thebreakingdad.co.uk/parenthood/hoppstar-artist-camera-review/,reviews,,true,high,2041,2025-06-10,2025-06-13,0,title keyword → reviews/
8697,Newbie Windsor Launch: A Swedish Slice of Sustainable Style,https://thebreakingdad.co.uk/parenthood/newbie-windsor-store-launch/,diary,,false,low,1651,2025-06-05,2025-06-06,0,KEEP — substantial (1651w) & recent (modified 11mo ago)
8793,Must Haves for Newborn: The Ultimate Checklist for New Parents,https://thebreakingdad.co.uk/parenthood/must-haves-for-newborn-ultimate-checklist/,diary,,false,low,2058,2025-06-14,2025-06-24,0,KEEP — substantial (2058w) & recent (modified 10mo ago)
8823,Vivobarefoot Motus Strength Review (2025): The Only Barefoot Shoe I Need as a Busy Parent,https://thebreakingdad.co.uk/reviews/vivobarefoot-motus-strength-review/,reviews,,false,high,1637,2025-06-14,2025-06-24,0,WP category 'reviews'
8855,Center Parcs Elveden Forest Review 2025: Our Honest Family Trip with a 7-Month-Old,https://thebreakingdad.co.uk/reviews/center-parcs-elveden-forest/,reviews,,true,high,2017,2025-06-24,2025-06-24,0,WP category 'reviews'
8912,Child Maintenance Service (CMS) Changes 2025: What UK Parents Need to Know,https://thebreakingdad.co.uk/separated-parents/cms-changes-2025/,posts,money-and-benefits,false,medium,1076,2025-06-29,2025-06-30,0,multiple subhub tags; manual tiebreak → money-and-benefits
